epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1406.64,0.7042,0.6348,1.10452,0.55094,0.52032,0.54865,0.46071,0.71044,0.80783,1.10553,0.000251309,0.000251309,0.000251309
70,1426.73,0.67034,0.61537,1.08558,0.55234,0.51502,0.54469,0.46372,0.71434,0.83484,1.12679,0.000243696,0.000243696,0.000243696
71,1447.53,0.68259,0.60139,1.08668,0.55389,0.49785,0.5317,0.45161,0.72384,0.85537,1.11099,0.000236083,0.000236083,0.000236083
72,1467.34,0.68353,0.59376,1.0871,0.50081,0.51435,0.52483,0.44097,0.7082,0.78315,1.10386,0.00022847,0.00022847,0.00022847
73,1488.02,0.68858,0.5966,1.07989,0.58935,0.50647,0.53043,0.4484,0.71561,0.81783,1.12035,0.000220857,0.000220857,0.000220857
74,1507.58,0.67069,0.58061,1.08211,0.56588,0.5015,0.51334,0.42906,0.71672,0.84386,1.11545,0.000213244,0.000213244,0.000213244
75,1529.57,0.68735,0.59398,1.0904,0.56636,0.5144,0.54053,0.4437,0.73309,0.80103,1.11637,0.000205631,0.000205631,0.000205631
76,1549.09,0.66972,0.57064,1.07195,0.62775,0.50647,0.5557,0.47174,0.71004,0.79233,1.10766,0.000198018,0.000198018,0.000198018
77,1570.08,0.61497,0.5351,1.04197,0.56472,0.51883,0.5495,0.46092,0.69208,0.81349,1.09281,0.000190404,0.000190404,0.000190404
78,1591.28,0.64995,0.55967,1.05725,0.61257,0.51646,0.54659,0.45991,0.68166,0.83343,1.07615,0.000182791,0.000182791,0.000182791
79,1611.24,0.65108,0.55823,1.075,0.59045,0.51101,0.53784,0.46019,0.6873,0.81727,1.08631,0.000175178,0.000175178,0.000175178
80,1632.23,0.64343,0.56173,1.06274,0.63115,0.51029,0.54803,0.47045,0.67912,0.78963,1.08355,0.000167565,0.000167565,0.000167565
81,1652.45,0.63374,0.53736,1.06083,0.61441,0.53179,0.55842,0.47676,0.69138,0.78493,1.08541,0.000159952,0.000159952,0.000159952
82,1672.99,0.65667,0.56551,1.06166,0.61011,0.51132,0.54175,0.45395,0.71233,0.8102,1.10074,0.000152339,0.000152339,0.000152339
83,1693.8,0.63016,0.54611,1.05367,0.64905,0.50633,0.53329,0.44711,0.70365,0.8087,1.09442,0.000144726,0.000144726,0.000144726
84,1713.93,0.62013,0.53008,1.05509,0.57539,0.5072,0.53618,0.4508,0.68943,0.81485,1.08231,0.000137113,0.000137113,0.000137113
85,1734.54,0.64205,0.54145,1.06406,0.61866,0.53451,0.55476,0.47074,0.70734,0.81631,1.08925,0.0001295,0.0001295,0.0001295
86,1753.98,0.60638,0.52007,1.03509,0.61666,0.53237,0.55581,0.46462,0.69342,0.80828,1.0867,0.000121887,0.000121887,0.000121887
87,1775.24,0.61989,0.53603,1.03706,0.6148,0.53627,0.56819,0.47579,0.69858,0.77616,1.08959,0.000114273,0.000114273,0.000114273
88,1796.3,0.61184,0.54261,1.03852,0.67111,0.50761,0.56307,0.467,0.70987,0.73223,1.0988,0.00010666,0.00010666,0.00010666
89,1816.7,0.58743,0.50571,1.03097,0.64344,0.5072,0.55888,0.46743,0.72043,0.76212,1.11119,9.90472e-05,9.90472e-05,9.90472e-05
90,1837.71,0.58781,0.50843,1.03682,0.58867,0.53721,0.56522,0.47545,0.71507,0.79185,1.10669,9.14341e-05,9.14341e-05,9.14341e-05
91,1859.6,0.47956,0.44837,0.98543,0.69596,0.5072,0.55952,0.47188,0.7034,0.74327,1.106,8.3821e-05,8.3821e-05,8.3821e-05
92,1880.53,0.45443,0.39032,0.96,0.62168,0.53324,0.56271,0.47756,0.70714,0.7628,1.10527,7.62079e-05,7.62079e-05,7.62079e-05
93,1899.34,0.45603,0.38358,0.96523,0.59547,0.53292,0.54134,0.45809,0.70474,0.7846,1.09509,6.85948e-05,6.85948e-05,6.85948e-05
94,1920.04,0.44674,0.36667,0.95096,0.62108,0.53419,0.53378,0.45418,0.70121,0.78804,1.09503,6.09817e-05,6.09817e-05,6.09817e-05
95,1940.52,0.45254,0.36157,0.96264,0.58018,0.53601,0.5325,0.45602,0.69773,0.7725,1.09551,5.33686e-05,5.33686e-05,5.33686e-05
96,1960.38,0.43859,0.35617,0.94923,0.6001,0.53189,0.53549,0.45301,0.70134,0.76084,1.09086,4.57555e-05,4.57555e-05,4.57555e-05
97,1981.1,0.42594,0.35252,0.93875,0.61351,0.53189,0.55455,0.47136,0.69886,0.75729,1.0859,3.81424e-05,3.81424e-05,3.81424e-05
98,2000.33,0.41773,0.34523,0.93601,0.65421,0.50206,0.55525,0.47992,0.68279,0.73151,1.07641,3.05293e-05,3.05293e-05,3.05293e-05
99,2020.65,0.41237,0.34451,0.94086,0.65125,0.50109,0.55267,0.4698,0.6856,0.73073,1.08069,2.29162e-05,2.29162e-05,2.29162e-05
100,2040.17,0.42466,0.33779,0.94298,0.65898,0.50206,0.55542,0.47519,0.68423,0.73525,1.07947,1.53031e-05,1.53031e-05,1.53031e-05
